,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.16,1.53,2.14,3.02,6.85,10.41,12.68,6.12,10.34,22.14,7.639
identified_templates,12.0,336.0,30.0,71.0,658.0,246.0,47.0,151.0,112.0,40.0,170.3
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,0.989,0.847,0.976,0.967,0.868,0.927,0.514,0.996,0.813,0.722,0.862
PA,0.994,0.709,0.976,0.823,0.553,0.709,0.417,0.971,0.943,0.664,0.776
FGA,0.87,0.92,0.949,0.825,0.879,0.888,0.905,0.893,0.72,0.923,0.877
PTA,0.833,0.726,0.8,0.789,0.536,0.573,0.702,0.768,0.607,0.875,0.721
RTA,0.909,0.722,0.828,0.629,0.564,0.597,0.688,0.744,0.919,0.921,0.752
FTA,0.87,0.724,0.814,0.7,0.55,0.585,0.695,0.756,0.731,0.897,0.732
