,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,0.85,1.45,1.56,2.24,6.94,7.62,130.16,440.85,11.78,17.61,62.106
identified_templates,23.0,374.0,30.0,78.0,755.0,429.0,8107.0,27618.0,355.0,41.0,3781.0
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,0.501,0.689,0.976,0.941,0.802,0.806,0.344,0.749,0.751,0.691,0.725
PA,0.113,0.516,0.727,0.795,0.425,0.529,0.148,0.344,0.932,0.497,0.503
FGA,0.294,0.806,0.949,0.719,0.731,0.577,0.008,0.009,0.284,0.81,0.519
PTA,0.087,0.251,0.5,0.59,0.224,0.259,0.002,0.003,0.161,0.415,0.249
RTA,0.182,0.278,0.517,0.517,0.27,0.47,0.333,0.513,0.77,0.447,0.43
FTA,0.118,0.264,0.508,0.551,0.245,0.334,0.004,0.006,0.266,0.43,0.273
