,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.21,2.01,2.31,3.33,8.37,11.73,13.86,6.74,12.04,24.77,8.637
identified_templates,11.0,356.0,35.0,88.0,700.0,262.0,48.0,159.0,88.0,38.0,178.5
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.813,0.993,0.964,0.859,0.862,1.0,0.996,0.807,0.691,0.899
PA,0.994,0.711,0.991,0.818,0.551,0.676,0.466,0.971,0.933,0.633,0.774
FGA,1.0,0.902,0.844,0.836,0.86,0.827,1.0,0.927,0.802,0.921,0.892
PTA,0.909,0.702,0.657,0.705,0.509,0.515,0.771,0.755,0.739,0.868,0.713
RTA,0.909,0.74,0.793,0.697,0.569,0.572,0.771,0.769,0.878,0.868,0.757
FTA,0.909,0.72,0.719,0.701,0.537,0.542,0.771,0.762,0.802,0.868,0.733
