,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.14,1.76,2.02,2.96,8.24,11.05,12.38,6.09,10.96,22.38,7.898
identified_templates,11.0,356.0,35.0,87.0,696.0,273.0,48.0,162.0,95.0,37.0,180.0
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.813,0.993,0.963,0.867,0.835,1.0,0.997,0.807,0.69,0.896
PA,0.994,0.711,0.991,0.818,0.551,0.675,0.466,0.971,0.933,0.412,0.752
FGA,1.0,0.902,0.844,0.83,0.864,0.802,1.0,0.931,0.769,0.907,0.885
PTA,0.909,0.702,0.657,0.713,0.51,0.495,0.771,0.741,0.684,0.865,0.705
RTA,0.909,0.74,0.793,0.697,0.567,0.572,0.771,0.769,0.878,0.842,0.754
FTA,0.909,0.72,0.719,0.705,0.537,0.53,0.771,0.755,0.769,0.853,0.727
