,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.13,1.73,2.06,2.99,7.67,10.89,12.61,5.69,10.78,22.31,7.786
identified_templates,11.0,332.0,29.0,71.0,650.0,244.0,45.0,148.0,80.0,38.0,164.8
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.988,1.0,0.967,0.869,0.859,0.95,0.996,0.866,0.691,0.919
PA,0.994,0.732,0.994,0.823,0.553,0.68,0.417,0.971,0.99,0.633,0.779
FGA,1.0,0.931,1.0,0.825,0.887,0.875,0.946,0.914,0.896,0.921,0.92
PTA,0.909,0.735,0.828,0.789,0.543,0.566,0.733,0.784,0.85,0.868,0.761
RTA,0.909,0.722,0.828,0.629,0.564,0.585,0.688,0.744,0.919,0.868,0.746
FTA,0.909,0.728,0.828,0.7,0.553,0.575,0.71,0.763,0.883,0.868,0.752
