,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.4,1.99,2.35,3.39,8.21,11.34,13.9,6.53,11.77,24.08,8.496
identified_templates,11.0,332.0,29.0,71.0,652.0,245.0,45.0,148.0,80.0,38.0,165.1
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.988,1.0,0.967,0.869,0.909,0.95,0.996,0.866,0.691,0.924
PA,0.994,0.732,0.994,0.823,0.553,0.693,0.417,0.971,0.99,0.633,0.78
FGA,1.0,0.931,1.0,0.825,0.887,0.894,0.946,0.914,0.896,0.921,0.921
PTA,0.909,0.735,0.828,0.789,0.541,0.576,0.733,0.784,0.85,0.868,0.761
RTA,0.909,0.722,0.828,0.629,0.564,0.597,0.688,0.744,0.919,0.868,0.747
FTA,0.909,0.728,0.828,0.7,0.552,0.586,0.71,0.763,0.883,0.868,0.753
