ground_truth,PIPLUP_no_merge,PIPLUP,count
Progress of TaskAttempt <*> is : <*>,Progress of TaskAttempt <*> is : <*>,Progress of TaskAttempt <*> is : <*>,45882
MapCompletionEvents request from <*> startIndex <*> maxEvents <*>,MapCompletionEvents request from <*> startIndex <*> maxEvents <*>,MapCompletionEvents request from <*> startIndex <*> maxEvents <*>,18140
Address change detected. Old: <*> New: <*>,Address change detected. Old: msra-<*> New: msra-<*>,Address change detected. Old: msra-<*> New: msra-<*>,5795
(EQUATOR) <*> kvi <*>(<*>),(EQUATOR) <*> kvi <*>),(EQUATOR) <*> kvi <*>),5542
bufstart = <*>; bufend = <*>; bufvoid = <*>,bufstart = <*>; bufend = <*>; bufvoid = <*>,bufstart = <*>; bufvoid = <*>,5339
kvstart = <*>(<*>); kvend = <*>(<*>); length = <*>,kvstart = <*>); kvend = <*>); length = <*>,kvstart = <*>; length = <*>,5339
Spilling map output,Spilling map output,Spilling map output,5339
Failed to renew lease for <*> for <*> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,5300
Finished spill <*>,Finished spill <*>,Finished spill <*>,5204
<*> TaskAttempt Transitioned from <*> to <*>,<*> TaskAttempt Transitioned from <*> to <*>,<*> TaskAttempt Transitioned from <*> to <*>,4713
(RESET) equator <*> kv <*>(<*>) kvi <*>(<*>),(RESET) equator <*> kv <*>) kvi <*>),(RESET) equator <*> kv <*>) kvi <*>),4579
"Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:-<*>","Recalculating schedule, headroom=<memory:<*>, vCores:-<*>",4415
Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,3841
Resolved <*> to <*>,Resolved <*> to /default-rack,Resolved <*> to /default-rack,3297
Retrying connect to server: <*> Already tried <*> time(s); maxRetries=<*>,Retrying connect to server: <*> Already tried <*> time(s); maxRetries=<*>,Retrying connect to server: <*> Already tried <*> time(s); maxRetries=<*>,2517
<*> Task Transitioned from <*> to <*>,<*> Task Transitioned from <*> to <*>,<*> Task Transitioned from <*> to <*>,1825
Opening proxy : <*>,Opening proxy : <*>,Opening proxy : <*>,1757
