ground_truth,PIPLUP_no_merge,PIPLUP,count
onStandStepChanged <*>,onStandStepChanged <*>,onStandStepChanged <*>,30161
getTodayTotalDetailSteps = <*>,getTodayTotalDetailSteps = <*>,getTodayTotalDetailSteps = <*>,27447
setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=<*>,27431
calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=<*>,27426
calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>,27426
REPORT : <*>,REPORT : <*>,REPORT : <*>,23539
processHandleBroadcastAction action:<*>,processHandleBroadcastAction action:<*>,processHandleBroadcastAction action:<*>,8602
"new date =<*>, type=<*>,old=<*>","new date =<*>, type=<*>,old=<*>","new date =<*>, type=<*>,old=<*>",7237
onReceive action: <*>,onReceive action: <*>,onReceive action: <*>,3239
getBinderPackageName packageName = <*>,getBinderPackageName packageName = <*>,getBinderPackageName packageName = <*>,3156
upLoadOneMinuteDataToEngine time=<*>,upLoadOneMinuteDataToEngine time=<*>,upLoadOneMinuteDataToEngine time=<*>,1920
flush sensor data,flush sensor data,flush sensor data,1617
"saveStatData() type =<*>,time = <*>,statClient = <*>,who is <*>","saveStatData() type =<*>,time = <*>,statClient = <*>,who is <*>","saveStatData() type =<*>,time = <*>,statClient = <*>,who is <*>",1172
initDataPrivacy the dataPrivacy is <*>,initDataPrivacy the dataPrivacy is true,initDataPrivacy the dataPrivacy is true,792
initDataPrivacy the dataPrivacy switch is <*> start push health data!,"initDataPrivacy the dataPrivacy switch is open, start push health data!","initDataPrivacy the dataPrivacy switch is open, start push health data!",792
ifCanSync not! no cloud version,ifCanSync not! no cloud version,ifCanSync not! no cloud version,792
needAutoSync autoSyncSwitch is <*>,needAutoSync autoSyncSwitch is open,needAutoSync autoSyncSwitch is open,792
"startSync hiSyncOption =<*> HiSyncOption{syncAction=<*>, syncMethod=<*>, syncScope=<*>, syncDataType=<*>, syncModel=<*>, pushAction=<*>},app =<*> <*> who =<*> <*>","startSync hiSyncOption = <*>{syncAction=<*>, syncMethod=<*>, syncScope=<*>, syncDataType=<*>, syncModel=<*>, pushAction=<*>},app = <*> who = <*>","startSync hiSyncOption = <*>{syncAction=<*>, syncMethod=<*>, syncScope=<*>, syncDataType=<*>, syncModel=<*>, pushAction=<*>},app = <*> who = <*>",792
initUserPrivacy the userPrivacy switch is <*> start push user data!,"initUserPrivacy the userPrivacy switch is open, start push user data!","initUserPrivacy the userPrivacy switch is open, start push user data!",792
initUserPrivacy the userPrivacy is <*>,initUserPrivacy the userPrivacy is true,initUserPrivacy the userPrivacy is true,792
sendSyncFailedBroadcast,sendSyncFailedBroadcast,sendSyncFailedBroadcast,792
insertHiHealthData() end totalTime = <*>,insertHiHealthData() end totalTime = <*>,insertHiHealthData() end totalTime = <*>,744
insertHiHealthData() checkAppType <*> appID = <*>,insertHiHealthData() checkAppType <*> appID = <*>,insertHiHealthData() checkAppType <*> appID = <*>,744
