ground_truth,PIPLUP_no_merge,PIPLUP,count
Out of Memory: Killed process <*> (<*>).,Out of Memory: Killed process <*> (<*>).,Out of Memory: Killed process <*> (<*>).,10404
authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>,authentication failure; <*> uid=<*> euid=<*> ruser= <*>,authentication failure; <*> uid=<*> euid=<*> ruser= <*>,2879
connection from <*> (<*>) at <*>,connection from <*> (<*>) at <*>,connection from <*> (<*>) at <*>,2805
check pass; user <*>,check pass; user unknown,check pass; user unknown,1043
session closed for user <*>,session closed for user <*>,session closed for user <*>,561
session opened for user <*> by <*>,session opened for user <*> by (uid=<*>),session opened for user <*> by (uid=<*>),561
connection from <*> (<*>) at <*>,connection from <*> () at <*>,connection from <*> (<*>) at <*>,506
creating device node <*>,creating device node '<*>',creating device node '<*>',268
<*> startup succeeded,<*> startup succeeded,<*> startup succeeded,261
ALERT exited abnormally with <*>,ALERT exited abnormally with [<*>],ALERT exited abnormally with [<*>],231
removing device node <*>,removing device node '<*>',removing device node '<*>',216
listening on IPv4 interface <*>,listening on IPv4 interface <*> <*>,listening on IPv4 interface <*> <*>,192
[<*>] do_page_fault+<*>,[<*>] do_page_fault+<*>,[<*>] do_page_fault+<*>,190
audit(<*>): syscall=<*> exit=<*> a0=<*> a1=<*> a2=<*> a3=<*> items=<*> pid=<*> loginuid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*>,audit(<*>): syscall=<*> exit=<*> a0=<*> a1=<*> a2=<*> a3=<*> items=<*> pid=<*> loginuid=-<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*>,audit(<*>): syscall=<*> exit=<*> a0=<*> a1=<*> a2=<*> a3=<*> items=<*> pid=<*> loginuid=-<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*>,113
ttloop: peer died: Invalid or incomplete multibyte or wide character,ttloop: peer died: Invalid or incomplete multibyte or wide character,ttloop: peer died: Invalid or incomplete multibyte or wide character,112
<*> shutdown succeeded,<*> shutdown succeeded,<*> shutdown succeeded,107
[<*>] __alloc_pages+<*>,[<*>] __alloc_pages+<*>,[<*>] __alloc_pages+<*>,90
"httpd: page allocation failure. order:<*>, mode:<*>","httpd: page allocation failure. order:<*>, mode:<*>","httpd: page allocation failure. order:<*>, mode:<*>",77
[<*>] handle_mm_fault+<*>,[<*>] handle_mm_fault+<*>,[<*>] handle_mm_fault+<*>,73
[<*>] schedule+<*>,[<*>] schedule+<*>,[<*>] schedule+<*>,72
ttloop: read: Connection timed out,ttloop: read: Connection timed out,ttloop: read: Connection timed out,57
audit(<*>): item=<*> name=<*> inode=<*> dev=<*>,audit(<*>): item=<*> inode=<*> dev=<*>,audit(<*>): item=<*> inode=<*> dev=<*>,57
