ground_truth,PIPLUP_no_merge,PIPLUP,count
"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.","<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.","<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",7711
Cocoa scripting error for '<*>': four character codes must be four characters long.,Cocoa scripting error for '<*>': four character codes must be four characters long.,Cocoa scripting error for '<*>': four character codes must be four characters long.,3930
AppleCamIn::systemWakeCall - messageType = <*>,AppleCamIn::systemWakeCall - messageType = <*>,AppleCamIn::systemWakeCall - messageType = <*>,2679
dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,2304
Thermal pressure state: <*> Memory pressure state: <*>,Thermal pressure state: <*> Memory pressure state: <*>,Thermal pressure state: <*> Memory pressure state: <*>,1859
<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,1764
send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,1668
Sandbox: com.apple.Addres(<*>) deny(<*>) network-outbound <*>,Sandbox: <*>) deny(<*>) network-outbound <*>,Sandbox: <*>) deny(<*>) network-outbound <*>,1659
<*>: channel changed to <*>,en0: channel changed to <*>,en0: channel changed to <*>,1510
ARPT: <*>: <*>: MDNS: <*> Addr: <*>,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,1325
"CCFile::copyFile fileName is [<*>]-<*>, source path:<*>, dest path:<*>","CCFile::copyFile fileName is [<*>]-<*>, source path:<*>]-<*>, dest path:<*>]=<*>:sts:5_rsn:<*>]-<*>","CCFile::copyFile fileName is [<*>]-<*>, source path:<*>]-<*>, dest path:<*>]=<*>:sts:5_rsn:<*>]-<*>",1283
CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,"CCFile::captureLogRun Skipping current file Dir file [<*>]-<*>, Current File [<*>]-<*>","CCFile::captureLogRun Skipping current file Dir file [<*>]-<*>, Current File [<*>]-<*>",1254
<*>(<*>) deny network-outbound <*>,<*>) deny network-outbound <*>,<*>) deny network-outbound <*>,1245
CCFile::captureLogRun() Exiting CCFile::captureLogRun,CCFile::captureLogRun() Exiting CCFile::captureLogRun,CCFile::captureLogRun() Exiting CCFile::captureLogRun,1242
AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,1064
[<*>] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,[<*>] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,[<*>] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,1052
[<*>] FigAgglomeratorSetObjectForKey signalled err=<*> (<*>) (<*> key) at <*> line <*>,[<*>] FigAgglomeratorSetObjectForKey signalled err=-<*> (kFigStringConformerError_ParamErr) (NULL key) at <*> line <*>,[<*>] FigAgglomeratorSetObjectForKey signalled err=-<*> (kFigStringConformerError_ParamErr) (NULL key) at <*> line <*>,1048
AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,1019
AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,1019
CCFile::captureLog Received Capture notice id: <*> reason = <*>,CCFile::captureLog Received Capture notice id: <*> reason = <*>:sts:5_rsn:<*>,CCFile::captureLog Received Capture notice id: <*> reason = <*>:sts:5_rsn:<*>,969
CCFile::captureLog,CCFile::captureLog,CCFile::captureLog,968
Received Capture Event,Received Capture Event,Received Capture Event,959
<*>: BSSID changed to <*>,0,0,956
"Path not allowed in target domain: type = <*> path = <*> error = <*>: The specified service did not ship in the requestor's bundle, origin = <*>","Path not allowed in target domain: type = <*> path = <*> error = <*>: The specified service did not ship in the requestor's bundle, origin = <*>","Path not allowed in target domain: type = <*> path = <*> error = <*>: The specified service did not ship in the requestor's bundle, origin = <*>",925
tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,888
FA||Url||taskID[<*>] dealloc,FA||Url||taskID[<*>] dealloc,FA||Url||taskID[<*>] dealloc,888
-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,780
dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:<*> Errno:<*> Operation not permitted,dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:-<*> Errno:<*> Operation not permitted,dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:-<*> Errno:<*> Operation not permitted,768
-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,746
in6_unlink_ifa: IPv6 address <*> has no prefix,in6_unlink_ifa: IPv6 address <*> has no prefix,in6_unlink_ifa: IPv6 address <*> has no prefix,715
AppleCamIn::handleWakeEvent_gated,AppleCamIn::handleWakeEvent_gated,AppleCamIn::handleWakeEvent_gated,701
Location icon should now be in state <*>,Location icon should now be in state 'Inactive',Location icon should now be in state 'Inactive',691
Location icon should now be in state <*>,Location icon should now be in state 'Active',Location icon should now be in state 'Active',691
"PM response took <*> ms (<*>, <*>)","PM response took <*> (<*>, <*>)","PM response took <*> (<*>, <*>)",685
Error returned from iconservicesagent: (<*>),Error returned from iconservicesagent: (null),Error returned from iconservicesagent: (null),679
-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <*>.,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>.,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>.,679
KeychainGetICDPStatus: status: <*>,KeychainGetICDPStatus: status: off,KeychainGetICDPStatus: status: off,664
KeychainGetICDPStatus: keychain: <*>,KeychainGetICDPStatus: keychain: -<*>,KeychainGetICDPStatus: keychain: -<*>,664
"NETWORK: requery, <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>","NETWORK: requery, <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>","NETWORK: requery, <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>",658
