ground_truth,PIPLUP_no_merge,PIPLUP,count
"<*> ""GET <*> <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>",90122
image <*> at (<*>): checking,image <*> at (<*>): checking,image <*> at (<*>): checking,12043
"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage","image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage","image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",12043
Active base files: <*>,Active base files: <*>,Active base files: <*>,12035
"<*> ""POST <*> <*>"" status: <*> len: <*> time: <*>","<*> ""POST <*>"" status: <*> len: <*> time: <*>","<*> ""POST <*>"" status: <*> len: <*> time: <*>",6194
[instance: <*>] VM Resumed (Lifecycle Event),[instance: <*>] VM <*> (Lifecycle Event),[instance: <*>] VM <*> (Lifecycle Event),4132
[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,4049
Unknown base file: <*>,Unknown base file: <*>,Unknown base file: <*>,3059
Removable base files: <*>,Removable base files: <*>,Removable base files: <*>,3059
[instance: <*>] VM Stopped (Lifecycle Event),[instance: <*>] VM <*> (Lifecycle Event),[instance: <*>] VM <*> (Lifecycle Event),2067
[instance: <*>] Took <*> seconds to build instance.,[instance: <*>] Took <*> seconds to build instance.,[instance: <*>] Took <*> seconds to build instance.,2066
[instance: <*>] Creating image,[instance: <*>] Creating image,[instance: <*>] Creating image,2066
[instance: <*>] VM Started (Lifecycle Event),[instance: <*>] VM <*> (Lifecycle Event),[instance: <*>] VM <*> (Lifecycle Event),2066
[instance: <*>] VM Paused (Lifecycle Event),[instance: <*>] VM <*> (Lifecycle Event),[instance: <*>] VM <*> (Lifecycle Event),2066
[instance: <*>] Instance spawned successfully.,[instance: <*>] Instance spawned successfully.,[instance: <*>] Instance spawned successfully.,2066
[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,2066
"[instance: <*>] vcpu limit not specified, defaulting to unlimited","[instance: <*>] vcpu limit not specified, defaulting to unlimited","[instance: <*>] vcpu limit not specified, defaulting to unlimited",2065
"[instance: <*>] Total memory: <*> MB, used: <*> MB",[instance: <*>] Total memory: <*> used: <*>,[instance: <*>] Total memory: <*> used: <*>,2065
[instance: <*>] Took <*> seconds to deallocate network for instance.,[instance: <*>] Took <*> seconds to deallocate network for instance.,[instance: <*>] Took <*> seconds to deallocate network for instance.,2065
"[instance: <*>] Total disk: <*> GB, used: <*> GB",[instance: <*>] Total disk: <*> used: <*>,[instance: <*>] Total disk: <*> used: <*>,2065
"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",[instance: <*>] Attempting claim: memory <*> disk <*> vcpus <*> CPU,[instance: <*>] Attempting claim: memory <*> disk <*> vcpus <*> CPU,2065
"[instance: <*>] disk limit not specified, defaulting to unlimited","[instance: <*>] disk limit not specified, defaulting to unlimited","[instance: <*>] disk limit not specified, defaulting to unlimited",2065
"[instance: <*>] memory limit: <*> MB, free: <*> MB",[instance: <*>] memory limit: <*> free: <*>,[instance: <*>] memory limit: <*> free: <*>,2065
"[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU","[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU","[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU",2065
