ground_truth,PIPLUP_no_merge,PIPLUP,count
<*> open through proxy <*> HTTPS,<*> open through proxy <*> HTTPS,<*> open through proxy <*> HTTPS,10219
"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",3884
"<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>","<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>","<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",3294
"<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>","<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>","<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",1887
"<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>","<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>","<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>",1147
<*> error : A connection request was canceled before the completion.,<*> error : A connection request was canceled before the completion.,<*> error : A connection request was canceled before the completion.,305
"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>","<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>","<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",230
<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,195
<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,<*> error : Could not connect to proxy <*> - Could not resolve proxy.cse.cuhk.edu.hk error <*>,<*> error : Could not connect to proxy <*> - Could not resolve proxy.cse.cuhk.edu.hk error <*>,134
<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,14
<*> open through proxy <*> SOCKS5,<*> open through proxy <*> SOCKS5,<*> open through proxy <*> SOCKS5,8
"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>","<*> (IPv6) error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>","<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",3
