ground_truth,PIPLUP_no_merge,PIPLUP,count
Fan speeds ( <*> ),Fan speeds ( <*> **** <*> ),Fan speeds ( <*> ),19344
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,199
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,158
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,73
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,64
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,38
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,35
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,33
Targeting domains:<*> and nodes:<*>,Targeting domains:node-D[<*>] and nodes:node-[<*>],Targeting <*> and nodes:node-[<*>],30
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,24
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,20
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,16
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,14
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,14
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,13
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,8
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,7
Targeting domains:<*> and nodes:<*>,Targeting domains:node-D7 and nodes:node-[<*>],Targeting <*> and nodes:node-[<*>],6
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,5
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,5
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,5
Targeting domains:<*> and nodes:<*>,Targeting domains:node-D7 and nodes:node-[<*>] child of command <*>,Targeting <*> and nodes:node-[<*>] child of command <*>,4
Targeting domains:<*> and nodes:<*>,Targeting domains:node-D0 and nodes:node-[<*>],Targeting <*> and nodes:node-[<*>],3
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,3
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,2
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,2
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,2
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,2
Targeting domains:<*> and nodes:<*>,Targeting domains:node-D2 and nodes:node-[<*>],Targeting <*> and nodes:node-[<*>],1
Targeting domains:<*> and nodes:<*>,Targeting domains:node-D4 and nodes:node-[<*>],Targeting <*> and nodes:node-[<*>],1
