,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,BGL,HDFS,Spark,Thunderbird,Average
parse_time,1.26,1.1,1.69,2.36,4.45,5.46,23.82,5.13,11.88,20.62,146.97,361.86,554.37,1110,160.784
identified_templates,57,441,29,77,3928,322,7221,27997,321,40,414,46,259,8254,3529
ground_templates,11,338,29,89,626,236,48,156,74,38,320,46,236,1241,249.143
GA,0.692,0.686,1,0.994,0.761,0.921,0.752,0.862,0.793,0.707,0.919,0.999,0.888,0.831,0.843
PA,0.688,0.112,0.727,0.844,0.381,0.546,0.02,0.312,0.721,0.586,0.456,0.569,0.559,0.219,0.481
FGA,0.206,0.778,1,0.904,0.229,0.785,0.007,0.01,0.309,0.872,0.624,0.935,0.861,0.237,0.554
PTA,0.105,0.231,0.517,0.675,0.041,0.342,0.001,0.002,0.09,0.475,0.181,0.478,0.429,0.042,0.258
RTA,0.545,0.302,0.517,0.584,0.256,0.466,0.125,0.353,0.392,0.5,0.234,0.478,0.47,0.277,0.393
FTA,0.176,0.262,0.517,0.627,0.07,0.394,0.002,0.004,0.147,0.487,0.204,0.478,0.448,0.072,0.278
