,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,BGL,HDFS,Spark,Thunderbird,Average
parse_time,20.19,930.28,43.24,74.12,747.53,175.69,54.49,107.59,47.47,43.14,422.4,418.67,625.05,8000.4,836.447
identified_templates,20,382,29,84,535,233,48,159,66,28,295,27,218,4716,488.571
ground_templates,11,338,29,89,626,236,48,156,74,38,320,46,236,1241,249.143
GA,0,0.942,1,0.987,0.707,0.89,1,0.993,0.87,0.745,0.833,1,0.999,0.757,0.837
PA,0.099,0.729,0.97,0.375,0.405,0.711,0.477,0.542,0.691,0.347,0.745,0.909,0.688,0.491,0.584
FGA,0,0.819,1,0.867,0.77,0.921,1,0.971,0.857,0.727,0.82,0.658,0.885,0.322,0.758
PTA,0.05,0.421,0.621,0.595,0.426,0.644,0.792,0.704,0.621,0.429,0.607,0.667,0.592,0.112,0.52
RTA,0.091,0.476,0.621,0.562,0.364,0.636,0.792,0.718,0.554,0.316,0.559,0.391,0.547,0.425,0.504
FTA,0.065,0.447,0.621,0.578,0.393,0.64,0.792,0.711,0.586,0.364,0.582,0.493,0.568,0.177,0.501
