Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.94,20,11,0.983,0.000,0.581,0.000,0.000,0.000
Linux,0.93,547,338,0.183,0.000,0.646,0.000,0.000,0.000
Apache,1.69,38,29,0.905,0.000,0.746,0.000,0.000,0.000
Zookeeper,2.29,138,89,0.959,0.000,0.573,0.000,0.000,0.000
Hadoop,9.43,304,236,0.576,0.000,0.707,0.000,0.000,0.000
HealthApp,5.17,179,156,0.906,0.000,0.860,0.000,0.000,0.000
OpenStack,11.27,54,48,0.821,0.000,0.647,0.000,0.000,0.000
HPC,10.44,282,74,0.733,0.000,0.337,0.000,0.000,0.000
Mac,5.36,1285,626,0.664,0.000,0.477,0.000,0.000,0.000
OpenSSH,27.93,61,38,0.278,0.000,0.525,0.000,0.000,0.000
Spark,921.99,348,236,0.854,0.000,0.616,0.000,0.000,0.000
Thunderbird,3575.84,72088,1241,0.533,0.000,0.027,0.000,0.000,0.000
BGL,1265.09,1797,320,0.869,0.000,0.247,0.000,0.000,0.000
HDFS,701.41,47,46,0.999,0.000,0.903,0.000,0.000,0.000
