,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,BGL,HDFS,Spark,Thunderbird,Average
parse_time,1.22,2.27,2.22,3.46,9.7,11.53,13.77,6.66,11.75,23.97,149.17,576.46,902.34,1445.25,225.698
identified_templates,11.0,335.0,29.0,76.0,658.0,248.0,45.0,148.0,80.0,38.0,326.0,43.0,249.0,1428.0,265.286
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,320.0,46.0,236.0,1241.0,249.143
GA,1.0,0.867,1.0,0.97,0.871,0.908,0.95,0.996,0.866,0.691,0.903,1.0,0.975,0.846,0.917
PA,0.994,0.731,0.994,0.825,0.553,0.693,0.417,0.971,0.99,0.633,0.938,0.721,0.908,0.556,0.78
FGA,1.0,0.921,1.0,0.873,0.883,0.88,0.946,0.914,0.896,0.921,0.824,0.854,0.92,0.83,0.904
PTA,0.909,0.725,0.828,0.789,0.538,0.56,0.733,0.784,0.85,0.868,0.696,0.465,0.53,0.496,0.698
RTA,0.909,0.719,0.828,0.674,0.565,0.589,0.688,0.744,0.919,0.868,0.709,0.435,0.559,0.571,0.698
FTA,0.909,0.722,0.828,0.727,0.551,0.574,0.71,0.763,0.883,0.868,0.703,0.449,0.544,0.531,0.697
