,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,BGL,HDFS,Spark,Thunderbird,Average
parse_time,0.99,1.72,1.95,3.02,7.83,10.18,12.45,5.63,10.34,21.73,159.16,513.4,746.62,1575.22,219.303
identified_templates,11.0,332.0,29.0,71.0,650.0,244.0,45.0,148.0,80.0,38.0,312.0,43.0,249.0,1394.0,260.429
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,320.0,46.0,236.0,1241.0,249.143
GA,1.0,0.988,1.0,0.967,0.869,0.859,0.95,0.996,0.866,0.691,0.887,1.0,0.975,0.723,0.912
PA,0.994,0.732,0.994,0.823,0.553,0.679,0.417,0.971,0.99,0.633,0.925,0.721,0.908,0.558,0.778
FGA,1.0,0.931,1.0,0.825,0.887,0.875,0.946,0.914,0.896,0.921,0.785,0.854,0.92,0.834,0.899
PTA,0.909,0.735,0.828,0.789,0.543,0.566,0.733,0.784,0.85,0.868,0.686,0.465,0.53,0.504,0.699
RTA,0.909,0.722,0.828,0.629,0.564,0.585,0.688,0.744,0.919,0.868,0.669,0.435,0.559,0.566,0.692
FTA,0.909,0.728,0.828,0.7,0.553,0.575,0.71,0.763,0.883,0.868,0.677,0.449,0.544,0.533,0.694
