,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,BGL,HDFS,Spark,Thunderbird,Average
parse_time,1.06,1.43,2.08,3.15,6.83,10.18,14.12,6.27,11.39,21.01,151.75,532.95,747.45,6846.26,596.852
identified_templates,12,402,30,77,775,239,124,159,135,39,299,45,249,1414,285.643
ground_templates,11,338,29,89,626,236,48,156,74,38,320,46,236,1241,249.143
GA,0.989,0.71,0.976,0.994,0.848,0.94,0.316,0.993,0.793,0.707,0.927,0.949,0.889,0.829,0.847
PA,0.994,0.118,0.844,0.824,0.539,0.812,0.133,0.656,0.852,0.649,0.822,0.72,0.631,0.456,0.646
FGA,0.87,0.857,0.949,0.904,0.818,0.947,0.279,0.946,0.584,0.883,0.759,0.901,0.866,0.844,0.815
PTA,0.833,0.453,0.7,0.779,0.334,0.594,0.105,0.591,0.437,0.846,0.609,0.422,0.526,0.443,0.548
RTA,0.909,0.538,0.724,0.674,0.414,0.602,0.271,0.603,0.797,0.868,0.569,0.413,0.555,0.505,0.603
FTA,0.87,0.492,0.712,0.723,0.37,0.598,0.151,0.597,0.565,0.857,0.588,0.418,0.54,0.472,0.568
