EventId,EventTemplate,Occurrences
fa3d9885,LDAP: Built with OpenLDAP LDAP SDK,53
587e40ef,LDAP: SSL support unavailable,53
52702a41,suEXEC mechanism enabled (wrapper: <*>),8
05ce27cc,Digest: generating secret for digest authentication ...,45
d492bd9d,Digest: done,45
7b67f20d,env.createBean2(): Factory error creating <*> ( <*> <*>),180
9dca4f3e,config.update(): Can't create <*>,180
a17e3ebc,mod_python: Creating <*> session mutexes based on <*> max processes and <*> max threads.,45
3db15212,<*> configured,45
ea52ff8c,<*> (Fedora) configured -- resuming normal operations,45
b00729be,jk2_init() Found child <*> in scoreboard slot <*>,6335
e105cbb5,workerEnv.init() ok <*>,5708
a3d44055,mod_jk child init <*>,288
40b5e4f1,[client <*>] Directory index forbidden by rule: <*>,6745
55c99ad0,[client <*>] File does not exist: <*>,20861
d550524b,jk2_init() Can't find child <*> in scoreboard,971
cf37fa69,mod_jk child init <*> -<*>,971
21b105a0,[client <*>] script not found or unable to stat: <*>,3301
d23ad5dd,mod_jk2 Shutting down,1336
1e262a4d,"Graceful restart requested, doing restart",37
30599411,[client <*>] request failed: URI too long (longer than <*>),39
a54f5ca4,mod_jk child workerEnv in error state <*>,4349
63843054,[client <*>] request failed: error reading the headers,14
930e2188,[client <*>] attempt to invoke directory as script: <*>,92
aad10d06,[client <*>] Attempt to serve directory: <*>,1
8c9296e9,"child process <*> still did not exit, sending a SIGTERM",168
61683537,"[client <*>] mod_security: Access denied with code <*> Error reading POST data, error_code=<*> [hostname ""<*>""] [uri ""/xmlrpc.php""]",1
c09eaca8,uriMap.mapUri() uri must start with /,27
3555f0ce,[client <*>] Invalid URI in request GET <*>,27
8b174cef,[client <*>] client sent <*> request without hostname (see RFC2616 section <*>): /,8
