EventId,EventTemplate,Occurrences
ffde4f31,<*> failed to configure resourcemgmt subsystem err = <*>,50
07b9d7a6,wait (command <*>),12982
9154a7f9,boot (command <*>),13414
45d7d070,halt (command <*>),616
7420bcff,clusterAddMember (command <*>),264
c4b885bc,risBoot (command <*>),268
53a4d3c2,bootGenvmunix (command <*>),262
34697c0b,member_delete (command <*>),15
e194bf1d,haltcluster (command <*>),44
b4e25afc,Command has completed successfully,1741
5452c51c,Command has been aborted,257
10186599,Targeting <*> and nodes:<*>,748
8046e5ac,Targeting <*> and nodes:node-[<*>] child of command <*>,1288
fe6bf7ad,Targeting <*> and nodes:node-[<*>],27
a76e0c18,Targeting domains:node-D0 and nodes:node-[<*>],3
3daaa52b,Targeting domains:node-D[<*>] and nodes:node-[<*>],30
13055d58,Targeting domains:node-D7 and nodes:node-[<*>] child of command <*>,4
f793c047,Targeting domains:node-D7 and nodes:node-[<*>],6
a54ec79a,Targeting domains:node-D4 and nodes:node-[<*>],1
2bc16896,Targeting domains:node-D2 and nodes:node-[<*>],1
020e3c63,psu failure\ ambient=<*>,517
870a1d8b,PSU status ( on off ),26
b975407c,PSU status ( off on ),21
e4dbd82a,ambient=<*> threshold exceeded,28
939ce800,Temperature (<*>) exceeds warning threshold,941
97e2eb74,ClusterFileSystem: There is no server for ServerFileSystem domain <*>,5126
b474ba8e,NIFF: node <*> detected a failed network connection on network <*> via interface <*>,1127
e07f96ea,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>,70
27eab568,Fan speeds ( <*> ),2428
c786e6be,fan failure\ ambient=<*>,2
50a9b221,Fan speeds ( <*> **** <*> ),19344
3dff51fb,Command Failed on: <*>,194
bd82b62d,Failed subcommands <*>,88
c6409432,power/control ok,81
e13d082a,power/control problem,355
36247cfe,no recent update,61
f971a90f,update received,34
ec4e03ec,Link error,4002
641961b9,Link ok,2257
db5aa7f9,Link in reset,2344
5144570d,Link error on broadcast tree Interconnect-0T00:<*>,1167
a8108a6e,ServerFileSystem: ServerFileSystem domain <*> is full,2561
a1974aed,ServerFileSystem domain <*> is full,38
bafedd1e,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node <*>,8152
75101dcd,running,30064
8cfafe98,configured out,19839
61326117,blocked,2286
b02b9741,not responding,12367
1ee85f6c,starting,148
3b38bec1,closing,70
3a4c7f4a,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,73
2f853555,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok>,64
ea1f3179,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok>,199
c76a5e84,active,1263
dd1f1cf0,inconsistent nodesets <*> <ok> <*> <ok>,53
f88728f3,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,158
22b4ca2b,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,16
59ad506e,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,33
a779d729,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,13
6c9bed6c,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,24
34569348,responding,181
44bd3c50,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,8
656047e3,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,35
aa7b172a,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,14
2b036347,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,14
bea88d2f,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,38
aa4af2af,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,20
127ee59e,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,7
322e8361,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,2
4532819c,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,5
ed236542,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,5
ad921d60,unknown,55
3807af3d,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,2
2c307a83,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,5
0900deb4,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,2
d512361d,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,2
f11607d7,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,3
bf51b2d8,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,1
