EventId,EventTemplate,Occurrences
ca7d7941,loaded properties from hadoop-metrics2.properties,977
4dc89700,Scheduled snapshot period at <*> second(s).,978
82b54a4b,<*> metrics system started,978
58e2370e,MapTask metrics system stopped.,302
3c5bb15c,Executing with tokens:,978
e0885064,"Kind: mapreduce.job, Service: <*> Ident: (<*>)",909
a11d3c48,Sleeping for <*> before retrying again. Got null now.,909
6f163461,<*> for child: <*>,907
3729a2cd,"<*> is deprecated. Instead, use <*>",963
fc4324dd,ProcfsBasedProcessTree currently is supported only on Linux.,905
ce10d82c,Using ResourceCalculatorProcessTree : <*>,905
a42129b8,Processing split: hdfs://msra-<*>,834
150f6473,(EQUATOR) <*> kvi <*>),5542
99a227ed,<*>: <*>,834
fefbdbcf,soft limit at <*>,834
fe766f3e,bufstart = <*>; bufvoid = <*>,834
6e49102f,kvstart = <*>; length = <*>,834
b6a9d915,Map output collector class = <*>,834
895d7761,Spilling map output,5339
36ab94b8,bufstart = <*>; bufend = <*>; bufvoid = <*>,5339
cc0e7b9f,kvstart = <*>); kvend = <*>); length = <*>,5339
cdf7dd93,Finished spill <*>,5204
960b4f80,(RESET) equator <*> kv <*>) kvi <*>),4579
4dfb8c4d,<*> error constructing remote block reader.,16
918e5863,"Failed to connect to <*> for block, add to deadNodes and continue. <*>: Connection timed out: no further information",5
5a3e1f9d,Successfully connected to <*> for <*>,6
0491d81f,Starting flush of map output,644
7707888f,Merging <*> sorted segments,678
5be2cae8,"Down to the last merge-pass, with <*> segments left of total size: <*> bytes",678
dfe6ae4e,<*> is done. And is in the process of committing,625
cf0f4f26,Task <*> done.,616
c991e706,"Failed to connect to <*> for block, add to deadNodes and continue. <*>: Connection refused: no further information",1
e223c99a,Using ShuffleConsumerPlugin: <*>,71
06bfe26e,"MergerManager: memoryLimit=<*>, maxSingleShuffleLimit=<*>, mergeThreshold=<*>, ioSortFactor=<*>, memToMemMergeOutputsThreshold=<*>",71
1ad5a5a0,<*> Thread started: EventFetcher for fetching Map Completion Events,71
8d8a633f,<*>: Got <*> new map-outputs,414
f1006a67,Assigning <*> with <*> to fetcher#<*>,472
