EventId,EventTemplate,Occurrences
93067dc4,onStandStepChanged <*>,30161
252628f5,onReceive action: <*>,3239
409ce25a,processHandleBroadcastAction action:<*>,8602
b8f897f8,flush sensor data,1617
e0a83abb,getTodayTotalDetailSteps = <*>,27447
e3a0630a,setTodayTotalDetailSteps=<*>,27431
ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,27426
213c973d,calculateAltitudeWithCache totalAltitude=<*>,27426
f7985a60,REPORT : <*>,23539
1703b836,<*> true,93
ffb006b5,"screen status unknown,think screen on",42
0635a938,flushTempCacheToDB by stand,193
efbbbe85,flushTempCacheToDB by ext,244
0be9e3dc,Alarm uploadStaticsToDB totalSteps=<*>:153367Floor:240Distance:<*>,307
3b251b90,writeDataToDB size <*>,437
761b3014,upLoadOneMinuteDataToEngine time=<*>,1920
49c66533,getBinderPackageName packageName = <*>,3156
7a65ac79,"getAppContext() isAppValid health or wear, packageName = <*>",744
7b52b221,insertHiHealthData() checkAppType <*> appID = <*>,744
add2582e,"insertHiHealthData() size = <*>,app = <*>,One Data Type = <*>,packageName = <*>,writeStatType = <*>",744
3cb629bc,"saveHealthDetailData() deviceID = <*>,clientID=<*>,id=<*>",744
4b6bb3be,"saveStatData() type =<*>,time = <*>,statClient = <*>,who is <*>",1172
4fa3b706,"new date =<*>, type=<*>,old=<*>",7237
4dba71b3,"saveHealthDetailData() saveOneDetailData fail hiHealthData = <*>,type = <*>",288
8e2921bb,"bulkSaveDetailHiHealthData() size = <*>,totalTime = <*>",744
5bcd28f4,"saveRealTimeHealthDatasStat() size = <*>,totalTime = <*>",437
aad2bd2d,startListenerChange subscribeList = [<*>],744
8263ced3,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = <*>,errorMessage = <*>",212
034409f5,insertHiHealthData() end totalTime = <*>,744
3afbef33,uploadStaticsToDB() onResult type = <*> obj=<*>,307
c5b5f7d6,uploadStaticsToDB failed message=<*>,212
71835e93,checkInsertStatus stepSum or calorieSum is enough,685
42ded8e2,checkInsertStatus stepStatSum or calorieStatSum is enough,705
2b2b801d,stepSyncOrNot appSynTimes is <*> statsyncTimes is <*>,705
9b2e9261,"startInsertSportSync start auto sync,app is <*>",705
dbdd9143,"checkFirstSyncByType no such data in db ,type is <*> deviceCode is <*>",705
cdb47d81,"startInsertSportSync first <*> steps sync,do all sync",705
50c2e421,"startSync hiSyncOption = <*>{syncAction=<*>, syncMethod=<*>, syncScope=<*>, syncDataType=<*>, syncModel=<*>, pushAction=<*>},app = <*> who = <*>",792
6e805a4c,needAutoSync autoSyncSwitch is open,792
e4156b58,"initDataPrivacy the dataPrivacy switch is open, start push health data!",792
f257f214,"initUserPrivacy the userPrivacy switch is open, start push user data!",792
38085a58,initDataPrivacy the dataPrivacy is true,792
1d4b8a6f,initUserPrivacy the userPrivacy is true,792
3f9b4da2,ifCanSync not! no cloud version,792
8764d489,sendSyncFailedBroadcast,792
87e69fe2,InsertCallBack() onSuccess type = <*> data=<*>,437
75d2c94f,InsertEvent success begin:<*> end:<*>,436
2afb84ca,setWriteDBLastDataMinute=<*>,436
b072e131,"timeStamp back,extendReportTimeStamp=<*>",651
c7295c12,getTodaySportData mStepsRecordManager=<*>,206
057ae03f,theDayChanged <*>,11
e788f919,initEnviroument,11
3244bf49,getStepCounterStatus,16
86bcfaea,reStartStepCounter,11
3616b800,clear(),11
40f31420,getTodayBasicStandardSteps= <*>,32
aa1d16b4,getDiffTotalSteps= <*>,32
9e363d96,setBasicStandardSteps basicStandardStep=<*> restartSteps=<*>,16
a2e429e1,setDiffTotalSteps=<*>,11
00dbbc8e,reload : <*> restar <*>,16
b9adbd56,next <*>,11
0d02a5eb,setGoalNotifiShownRecord <*> false,11
8e523808,closeNotification...,15
c5a628cf,deleteHealthNotification(),15
60f8b5ac,"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <*> oldDay is <*>",11
f6840ac8,getTodayNoSyncTotalValue datas is null or empty,11
8e829e30,<*> false,209
75638e92,FAILED_SCREEN_OFF block report,185
05f47718,"setDeviceShutDownValue shutDownTime=<*>,isShutDown=<*>",10
7a3c496e,getDeviceShutDownBoolean shutDown=<*>,5
b9af14ff,getDeviceShutDownTime shutDownTime=<*>,5
876820fd,getVersion,5
75ec699f,getVersion= <*>,5
96937c24,getServiceRestartRecord= <*>,5
518dcad5,setServiceRestartRecord=<*>,5
6e29dbb9,getStepsTarget,5
1e9c2c94,getStepsTarget= <*>,5
7ee6011c,FAILED_ERROR_DATA,10
