EventId,EventTemplate,Occurrences
6f97e9d4,restart.,42
2315719c,<*> startup succeeded,261
cd33a8ea,klogd <*> log source = <*> started.,9
02d1f3a1,Linux version <*> (bhcompile@<*>) (gcc version <*> (Red Hat Linux <*>)) <*> EDT <*>,8
8c537990,BIOS-provided physical RAM map:,8
dc34c2eb,BIOS-<*>: <*> - <*> (usable),16
bfade55e,BIOS-<*>: <*> - <*> (reserved),24
31ab1d0f,<*> LOWMEM available.,8
42e1da55,zapping low mappings.,8
a7228435,On node <*> totalpages: <*>,8
4acbf1ab,"<*> zone: <*> pages, LIFO batch:<*>",24
5f45a05e,DMI <*> present.,8
45e5ce07,ACPI disabled because your bios is from <*> and too old,8
61d28d6a,You can enable it with acpi=<*>,8
4d847ed1,Built <*> zonelists,8
5905836a,Kernel command line: ro root=<*> rhgb quiet,7
415e2803,mapped <*> trampoline to <*>.,8
3c918e8f,Initializing CPU#<*>,8
3776b2f4,"CPU <*> irqstacks, hard=<*> soft=<*>",8
56dbac5b,PID hash table entries: <*> (order <*>: <*> bytes),8
e9247df3,Dquot-cache hash table entries: <*> (order <*> bytes),8
481e7ae7,Detected <*> MHz processor.,8
85959353,Using tsc for high-res timesource,8
a5b547df,Console: colour VGA+ 80x25,8
dc7523f4,"Memory: <*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)",8
4e8c467f,Calibrating delay loop... <*> BogoMIPS,8
6a50d1ca,Security Scaffold <*> initialized,8
158c34d8,SELinux: Initializing.,8
426f668c,SELinux: Starting in permissive mode,8
e0661b3c,"There is already a security framework initialized, register_security failed.",8
a31006da,Failure registering capabilities with the kernel,8
41ffccb1,selinux_register_security: Registering secondary module capability,8
48a493b0,Capability LSM initialized,8
ec04e27e,Dentry cache hash table entries: <*> (order: <*> bytes),8
a3498f8a,Inode-cache hash table entries: <*> (order: <*> bytes),8
95fbebcc,Mount-cache hash table entries: <*> (order: <*> bytes),8
268e6e9a,Version <*> Starting,8
8e659e05,CPU: L1 I cache: <*> L1 D cache: <*>,8
24b81ade,CPU: L2 cache: <*>,8
53650236,Intel machine check architecture supported.,8
b47e70f3,CPU: Intel Pentium III (Coppermine) stepping <*>,8
1d8fe60a,Enabling fast FPU save and restore... done.,8
5de744ee,Enabling unmasked SIMD FPU exception support... done.,8
0dfe904f,Checking 'hlt' instruction... OK.,8
60696e47,POSIX conformance testing by UNIFIX,8
4af88f8f,NET: Registered protocol family <*>,48
c6c491fe,PCI: PCI BIOS revision <*> entry at <*> last bus=<*>,8
0f556ff9,PCI: Using configuration type <*>,8
1ee2f7d8,ACPI: Subsystem revision <*>,8
cf383357,ACPI: Interpreter disabled.,8
ba3aa8a5,Linux Plug and Play Support v0.<*> (c) Adam Belay,8
f1205e3c,usbcore: registered new driver <*>,32
cafc1bbd,ACPI: ACPI tables contain no PCI IRQ routing entries,8
ea8a8d97,PCI: Invalid ACPI-PCI IRQ routing table,8
80734f26,Initializing random number generator: succeeded,8
1f72ed8d,PCI: Probing PCI hardware,8
af4344c8,PCI: Probing PCI hardware (bus <*>),8
4aeaad0b,Transparent bridge - <*>:1e.<*>,8
3442caa7,PCI: Using IRQ router <*> [<*>] at <*>:1f.<*>,8
cd76517c,apm: BIOS version <*> Flags <*> (Driver version <*>),8
4b7e6959,audit: initializing netlink socket (disabled),7
cf41c1e6,audit(<*>): initialized,8
0906cb48,"Total HugeTLB memory allocated, <*>",8
9edfc2d8,Starting <*>: succeeded,33
bd5b4ee3,VFS: Disk quotas <*>,8
2b566107,Initializing Cryptographic API,8
66c5c678,pci_hotplug: PCI Hot Plug PCI Core version: <*>,8
2bf1954b,isapnp: Scanning for PnP cards...,8
2e3d6c0c,isapnp: No Plug & Play device found,8
fae82c3a,Real Time Clock Driver v1.<*>,8
eb2ffdd1,Linux agpgart interface v0.<*> (c) Dave Jones,8
a15eff8f,agpgart: Detected an Intel i810 E Chipset.,8
9c5d642f,agpgart: Maximum main memory to use for agp memory: <*>,8
dffed7d8,agpgart: detected <*> dedicated video ram.,8
42e39163,HCI daemon ver <*> started,8
a9d64ca2,Setting network parameters: succeeded,7
5cb72407,agpgart: AGP aperture is <*> @ <*>,8
f3b4bfda,Bringing up loopback interface: succeeded,7
7b964964,"Serial: <*> driver $Revision: <*> $ <*> ports, IRQ sharing enabled",8
f65f45df,RAMDISK driver initialized: <*> RAM disks of <*> size <*> blocksize,8
978bb080,Uniform Multi-Platform E-IDE driver Revision: <*>,8
ed9bf2ac,Mounting other filesystems: succeeded,8
f15cb9e0,ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=<*>,8
9f2654da,ICH: IDE controller at PCI slot <*>:1f.<*>,8
0c8814dd,Version <*> (APM BIOS <*> Linux driver <*>),8
6ff50219,ICH: chipset revision <*>,8
2064c4fd,"ide0: BM-DMA at <*> BIOS settings: hda:DMA, hdb:pio",8
cb38bde6,"ide1: BM-DMA at <*> BIOS settings: hdc:DMA, hdd:pio",8
a3bd2f17,Using cfq io scheduler,8
40cba6b8,Home page is <*>,8
8fc1847c,ide0 at <*> on irq <*>,8
4120674e,ide1 at <*> on irq <*>,8
2202280c,Opened configuration file <*>,8
bbac2778,Configuration file <*> parsed.,8
d5f6c6cc,Device: <*> opened,8
88f75265,Charge: * * * (-<*>% unknown),8
ba34f648,Device: <*> found in smartd database.,8
41b966de,hda: max request size: 128KiB,8
aef21f6f,"Device: <*> is SMART capable. Adding to ""monitor"" list.",8
876f0823,"hda: <*> sectors (<*>) <*> Cache, CHS=<*>, UDMA(<*>)",8
c0d9ffbe,Monitoring <*> ATA and <*> SCSI devices,8
bfcc4c57,smartd has fork()ed into background mode. New PID=<*>.,8
bce51eab,Uniform CD-ROM driver Revision: <*>,8
