EventId,EventTemplate,Occurrences
04f0e432,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,1019
a5714044,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,1019
f1363fab,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,532
df539203,ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>,442
c86dfdd9,Bluetooth -- LE is supported - Disable LE meta event,532
54d7ab75,ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated <*> from UserClient Seq <*> Ack <*> Win size <*>,440
d181d4fd,ARPT: <*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,531
bd1aa1e9,ARPT: <*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will turn off.,1
e4204ce1,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],531
b21be901,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],532
a12569fb,ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],531
2d5c2818,ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[disabled],1
f4ada0a2,<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,1764
dff6d2b2,AppleCamIn::systemWakeCall - messageType = <*>,2679
637be545,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,532
e3b61a44,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,532
01e7355d,Wake reason: ?,198
98d15888,Wake reason: XHC1,15
016decae,AppleCamIn::wakeEventHandlerThread,1064
c5de5950,RTC: PowerByCalendarDate setting ignored,252
464477c4,Previous sleep cause: <*>,532
d3156d9c,Previous shutdown cause: <*>,57
0257a1bb,TBT W (<*>): <*> [x],532
2ec7229b,AirPort: Link Down on en0. Reason <*> (Disassociated because station leaving).,216
d4e03895,AirPort: Link Down on en0. Reason <*> (Disassociated due to inactivity).,9
86f9b3d4,en0: channel changed to <*>,1510
c006551a,en0: BSSID changed to 5c:<*>:bc:<*>,162
b7a2d271,en0::IO80211Interface::postMessage bssid changed,600
fe55d325,en0: <*> country code set to 'X3'.,224
a67e5c99,en0: <*> country code set to 'US'.,224
6728e0d7,en0: Supported channels <*>,445
209c69a9,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,746
c8276cce,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,262
5d1a0c7f,ARPT: <*>: ARPT: Wake Reason: Wake on TCP Timeout,148
79153624,AirPort: Link Up on awdl0,532
5ab3dcf5,AirPort: Link Up on en0,225
977e36ef,"setting hostname to ""<*>""",356
d9a66a2f,USBMSC Identifier (non-unique): <*> <*>,532
168c258b,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (<*>),572
a157c80e,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Button (<*>),17
f09b7e9d,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,414
8c3389f0,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",7711
6e389bb6,network changed: v4(en0-:<*>) v6(<*>) DNS! Proxy SMB,156
b1c31f19,network changed: v4(en0:<*>) v6(en0!:<*>) DNS Proxy SMB,13
df7d7c2a,in6_unlink_ifa: IPv6 address <*> has no prefix,715
9dc095b9,<*>: Could not write data to client PID[<*>](Mail) because of error - aborting connection,9
302c923b,"<*>: DNSServiceCreateConnection: <*> registered records, <*> kDNSServiceFlagsShareConnection operation PID[<*>](Mail)",9
ebea7c9d,-> DNSServiceGetAddrInfo <*> v4v6 <*> PID[<*>](),4
275d86c4,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*>,483
b8777a99,Saw change in network reachability (isReachable=<*>),362
cf9195fe,network changed: v6(en0-:<*>) DNS- Proxy-,157
5657cd9b,Captive: CNPluginHandler en0: Inactive,181
1a3e2c87,[<*>] <<<< CRABS >>>> crabsFlumeHostUnavailable: [<*>] Byte flume reports host unavailable.,222
98bbcccc,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! <*>,449
9a054d77,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,780
e1a13d73,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,503
beeeda1e,[<*>:WARNING:dns_config_service_posix.cc(<*>)] Failed to read DnsConfig.,185
04f6244a,"PM response took <*> (<*>, <*>)",685
690bda78,"Setting BTCoex Config: enable_2G:<*>, profile_2g:<*>, enable_5G:<*>, profile_5G:<*>",388
0af63e74,<*> : BTLE scanner Powered On,323
2c3a9fce,<*> : BTLE scanner Powered Off,205
8274cb77,"network_reachability_changed : network is not reachable, netbiosd is shutting down",179
a577bcb6,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=<*> (null)/(null) opts=(null) when=<*> +<*> confidence=<*> from=(null)/(null) (UABestAppSuggestionManager.m #<*>),533
050de4e6,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,535
9f75f22f,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,535
7c9ca2b5,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",535
23f5645d,ARPT: <*>: wlc_dump_aggfifo:,418
ce11f07f,ARPT: <*>: framerdy <*> bmccmd <*> framecnt <*>,418
71e130e8,ARPT: <*>: AQM agg params <*> maxlen <*> minlen <*> adjlen <*>,418
7f239953,ARPT: <*>: AQM agg results <*> len <*>: <*> BAbitmap(<*>) <*>,418
3f143fab,Received Capture Event,959
4a019d20,CCFile::captureLog,968
41bc82a1,CCFile::captureLog Received Capture notice id: <*> reason = <*>:sts:5_rsn:<*>,969
7534c643,"CCFile::copyFile fileName is [<*>]-<*>, source path:<*>]-<*>, dest path:<*>]=<*>:sts:5_rsn:<*>]-<*>",1283
ea92f231,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,472
18868d3c,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,472
2bb7225b,"CCFile::captureLogRun Skipping current file Dir file [<*>]-<*>, Current File [<*>]-<*>",1254
2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun,1242
ee8cb238,doSaveChannels@<*>: Will write to: <*>] - AssocFail:sts:5_rsn:<*>,419
5d3b8c8e,AppleCamIn::handleWakeEvent_gated,701
6be17cd3,Captive: [CNInfoNetworkActive:<*>] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),177
d51e94ae,Captive: [CNInfoNetworkActive:<*>] en0: SSID 'AirBears2' making interface primary (cache indicates network not captive),4
1efe32ce,network changed: DNS* Proxy,180
2abb6c29,network changed: DNS* Proxy-,1
60cca9be,Captive: en0: Not probing 'CalVisitor' (cache indicates not captive),177
b97418a6,Captive: en0: Not probing 'AirBears2' (cache indicates not captive),4
61bdce35,network changed: <*>) <*> Proxy+ SMB,179
9af9906c,network changed: <*>) <*> Proxy SMB,20
246a8684,Unexpected payload found for message <*> dataLen <*>,255
92121a91,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,521
a53b55aa,[<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,212
27758e25,QQ(<*>) deny mach-lookup <*>,135
42e9195d,############################## _getSysMsgList,343
f4d51c5c,AOSKit ERROR: XPC CLIENT: Connection [<*>] event handler received event with type: [XPC_TYPE_ERROR]. Description: [Connection interrupted],1
f42dcd96,Thermal pressure state: <*> Memory pressure state: <*>,1859
eb85ad07,FA||Url||taskID[<*>] dealloc,888
b5dd3697,ASL Sender Statistics,643
e1cbd60b,"ARPT: <*>: wl0: Roamed or switched channel, reason #<*>, bssid 5c:<*>:4c:<*>, last RSSI -<*>",150
32a6c27d,mDNS_RegisterInterface: Frequent transitions for interface <*> (<*>),318
059c10aa,mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>),185
487f61d2,ARPT: <*>: wl0: setup_keepalive: interval <*> retry_interval <*> retry_count <*>,445
4b25a4fe,ARPT: <*>: wl0: setup_keepalive: Local IP: <*>,445
b98578f3,ARPT: <*>: wl0: setup_keepalive: Local port: <*> Remote port: <*>,445
5c5ecb0f,ARPT: <*>: wl0: setup_keepalive: Seq: <*> Ack: <*> Win size: <*>,445
b84885ff,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,445
4bc5bb57,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,1325
90912ed1,"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",445
8e5ee366,ARPT: <*>: AirPort_Brcm43xx::powerChange: System Sleep,532
f6b506b5,Unable to start NetBIOS name service:,57
2c9efcba,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,888
5722d0e3,CCProfileMonitor::freeResources done,55
71b9734e,Got an XPC error: Connection invalid,55
1af5ad4c,"CCDataTap::profileRemoved, Owner: <*> Name: AssociationEventHistory",55
a1651d90,"CCDataTap::profileRemoved, Owner: <*> Name: StateSnapshots",55
09e067e0,"CCLogTap::profileRemoved, Owner: <*> Name: <*>",165
1c4410e3,Location icon should now be in state 'Active',691
ec6b9b15,Location icon should now be in state 'Inactive',691
616b6a8d,"NETWORK: requery, <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>",658
