EventId,EventTemplate,Occurrences
dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",3884
11a01d76,"<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>",1147
56ab45ba,<*> open through proxy <*> HTTPS,10219
b1fe74a1,<*> open through proxy <*> SOCKS5,8
70793860,"<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",3294
612230a9,"<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",1887
cb4cfc43,<*> error : A connection request was canceled before the completion.,305
bd37133d,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,14
2b71c77d,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",230
2c5463a9,"<*> (IPv6) error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",3
ed78e01b,<*> error : Could not connect to proxy <*> - Could not resolve proxy.cse.cuhk.edu.hk error <*>,134
6bedeeba,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,195
